,1M,1P,2M,2P,3M,3P
HWBA,59749.0,404.0,41345.0,25478.0,0.0,2971.0
HWAB,5404.0,0.0,5520.0,4664.0,0.0,0.0
HBWA,28852.0,869.0,23924.0,47745.0,0.0,3050.0
HBAW,0.0,0.0,0.0,403.0,0.0,0.0
HAWB,0.0,0.0,0.0,0.0,0.0,0.0
HABW,0.0,0.0,0.0,0.0,0.0,0.0
WHBA,25042.0,87501.0,3735.0,7603.0,0.0,672.0
WHAB,77930.0,2307.0,98392.0,11105.0,0.0,0.0
WBHA,20832.0,1297.0,1342.0,12267.0,0.0,141.0
WBAH,1029.0,197.0,848.0,10532.0,0.0,0.0
WAHB,24.0,0.0,0.0,0.0,0.0,0.0
WABH,3393.0,0.0,0.0,0.0,0.0,0.0
BHWA,116055.0,2261.0,47168.0,80346.0,0.0,875.0
BHAW,657.0,0.0,196.0,836.0,0.0,0.0
BWHA,87942.0,5299.0,264.0,12782.0,0.0,210.0
BWAH,22748.0,9.0,3407.0,2284.0,0.0,0.0
BAHW,33.0,0.0,0.0,0.0,0.0,0.0
BAWH,61.0,0.0,0.0,0.0,0.0,0.0
AHWB,0.0,0.0,0.0,0.0,0.0,0.0
AHBW,0.0,0.0,0.0,0.0,0.0,0.0
AWHB,0.0,0.0,0.0,0.0,0.0,0.0
AWBH,0.0,0.0,0.0,0.0,0.0,0.0
ABHW,0.0,0.0,0.0,0.0,0.0,0.0
ABWH,0.0,0.0,0.0,0.0,0.0,0.0
