Precinct,Winner_1,Winner_2,Winner_3
120,399,400,398
238,399,400,398
240,399,400,398
241,399,400,398
242,399,400,398
243,399,400,398
244,399,400,398
245,399,400,398
246,399,400,398
247,399,400,398
248,399,400,398
249,399,400,398
250,399,400,398
252,399,400,398
253,399,400,398
254,399,400,398
255,399,400,398
262,399,400,398
263,399,400,398
264,399,400,398
265,399,400,398
266,399,400,398
267,399,400,398
268,399,400,398
269,399,400,398
270,399,400,398
271,399,400,398
272,399,400,398
273,399,400,398
274,399,400,398
275,399,400,398
276,399,400,398
277,399,400,398
278,399,400,398
280,399,400,398
282,399,400,398
807,399,400,398
811,399,400,398
816,399,400,398
817,399,400,398
818,399,400,398
819,399,400,398
820,399,400,398
821,399,400,398
822,399,400,398
